"origin","MCN","PRA","RIS","RRE","WEL","ICH","LGR"
"Asotin Creek","NA","0.02 (0.02 - 0.03)","0.47 (0.44 - 0.50)*","0.57 (0.53 - 0.60)*","0.63 (0.59 - 0.67)*","NA","NA"
"Clearwater River","NA","0.01 (0.01 - 0.01)","0.47 (0.44 - 0.50)*","0.57 (0.53 - 0.60)*","0.63 (0.59 - 0.67)*","NA","NA"
"Deschutes River","<0.01","0.01 (0.00 - 0.04)","0.35 (0.00 - 0.82)","0.38 (0.31 - 0.46)*","0.43 (0.31 - 0.55)*","0.23 (0.05 - 0.47)","0.37 (0.19 - 0.47)"
"Entiat River","NA","NA","NA","NA","0.36 (0.32 - 0.39)","<0.01","0.91 (0.70 - 0.99)*"
"Fifteenmile Creek","0.04 (0.03 - 0.05)","<0.01","0.37 (0.00 - 0.83)","0.38 (0.31 - 0.46)*","0.43 (0.31 - 0.55)*","0.12 (0.06 - 0.22)","0.33 (0.19 - 0.43)"
"Grande Ronde","NA","0.01 (0.01 - 0.01)","0.47 (0.44 - 0.50)*","0.57 (0.53 - 0.60)*","0.63 (0.59 - 0.67)*","NA","NA"
"Imnaha River","NA","0.02 (0.02 - 0.02)","0.47 (0.44 - 0.50)*","0.57 (0.53 - 0.60)*","0.63 (0.59 - 0.67)*","NA","NA"
"John Day River","0.38 (0.37 - 0.40)","0.01 (0.01 - 0.02)","0.38 (0.27 - 0.49)","0.38 (0.31 - 0.46)*","0.43 (0.31 - 0.55)*","0.21 (0.20 - 0.23)","0.34 (0.32 - 0.36)"
"Methow River","NA","NA","NA","NA","NA","<0.01","0.91 (0.70 - 0.99)*"
"Okanogan River","NA","NA","NA","NA","NA","<0.01","0.91 (0.70 - 0.99)*"
"Salmon River","NA","0.02 (0.02 - 0.02)","0.47 (0.44 - 0.50)*","0.57 (0.53 - 0.60)*","0.63 (0.59 - 0.67)*","NA","NA"
"Tucannon River","NA","0.03 (0.03 - 0.03)","0.47 (0.44 - 0.50)*","0.57 (0.53 - 0.60)*","0.63 (0.59 - 0.67)*","NA","0.52 (0.50 - 0.54)"
"Umatilla River","0.31 (0.30 - 0.33)","0.02 (0.01 - 0.03)","0.35 (0.21 - 0.52)","0.38 (0.31 - 0.46)*","0.43 (0.31 - 0.55)*","0.19 (0.17 - 0.21)","0.31 (0.28 - 0.34)"
"Walla Walla River","NA","0.02 (0.02 - 0.02)","0.37 (0.30 - 0.45)","0.38 (0.31 - 0.46)*","0.43 (0.31 - 0.55)*","0.58 (0.56 - 0.59)","0.34 (0.33 - 0.36)"
"Wenatchee River","NA","NA","NA","0.49 (0.47 - 0.51)","0.56 (0.54 - 0.58)","<0.01","0.91 (0.70 - 0.99)*"
"Yakima River","NA","0.14 (0.12 - 0.16)","0.31 (0.25 - 0.38)","0.38 (0.31 - 0.46)*","0.43 (0.31 - 0.55)*","0.04 (0.02 - 0.05)","0.20 (0.13 - 0.28)"
