# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2022-10-18 14:50:44 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 12510500 YAKIMA RIVER AT KIONA, WA
# -----------------------------------------------------------------------------------
#
# Data provided for site 12510500
#            TS   parameter     statistic     Description
#        150108       00060     00003     Discharge, cubic feet per second (Mean)
#        150109       00065     00003     Gage height, feet (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     R  Records for these data have been revised. [https://waterdata.usgs.gov/usa/nwis/revision/?site_no=12510500&ts_ids=150108,150109]
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	150108_00060_00003	150108_00060_00003_cd	150109_00065_00003	150109_00065_00003_cd
5s	15s	20d	14n	10s	14n	10s
USGS	12510500	2005-01-01	2230	A	5.35	A
USGS	12510500	2005-01-02	2200	A	5.32	A
USGS	12510500	2005-01-03	2120	A	5.25	A
USGS	12510500	2005-01-04	2060	A	5.20	A
USGS	12510500	2005-01-05	1970	A	5.11	A
USGS	12510500	2005-01-06	1760	A	4.91	A
USGS	12510500	2005-01-07	1620	A	4.78	A
USGS	12510500	2005-01-08	1840	A	4.98	A
USGS	12510500	2005-01-09	2010	A	5.15	A
USGS	12510500	2005-01-10	2010	A	5.15	A
USGS	12510500	2005-01-11	1950	A	5.09	A
USGS	12510500	2005-01-12	1900	A	5.04	A
USGS	12510500	2005-01-13	1770	A	4.91	A
USGS	12510500	2005-01-14	1700	A:e	4.98	A
USGS	12510500	2005-01-15	1600	A:e	5.04	A
USGS	12510500	2005-01-16	1500	A:e	4.90	A
USGS	12510500	2005-01-17	1460	A	4.67	A
USGS	12510500	2005-01-18	1500	A	4.70	A
USGS	12510500	2005-01-19	2660	A	5.59	A
USGS	12510500	2005-01-20	8860	A	9.49	A
USGS	12510500	2005-01-21	9330	A	9.62	A
USGS	12510500	2005-01-22	8080	A	8.89	A
USGS	12510500	2005-01-23	7230	A	8.37	A
USGS	12510500	2005-01-24	6660	A	8.00	A
USGS	12510500	2005-01-25	6320	A	7.78	A
USGS	12510500	2005-01-26	5810	A	7.45	A
USGS	12510500	2005-01-27	5380	A	7.16	A
USGS	12510500	2005-01-28	4890	A	6.81	A
USGS	12510500	2005-01-29	4460	A	6.50	A
USGS	12510500	2005-01-30	4120	A	6.25	A
USGS	12510500	2005-01-31	3890	A	6.07	A
USGS	12510500	2005-02-01	3710	A	5.93	A
USGS	12510500	2005-02-02	3570	A	5.83	A
USGS	12510500	2005-02-03	3410	A	5.70	A
USGS	12510500	2005-02-04	3290	A	5.60	A
USGS	12510500	2005-02-05	3130	A	5.47	A
USGS	12510500	2005-02-06	3070	A	5.42	A
USGS	12510500	2005-02-07	3030	A	5.39	A
