# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2022-10-18 15:30:57 EDT       (vaww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 13344500 TUCANNON RIVER NEAR STARBUCK, WA
# -----------------------------------------------------------------------------------
#
# Data provided for site 13344500
#            TS   parameter     statistic     Description
#        150225       00060     00003     Discharge, cubic feet per second (Mean)
#        150226       00065     00003     Gage height, feet (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	150225_00060_00003	150225_00060_00003_cd	150226_00065_00003	150226_00065_00003_cd
5s	15s	20d	14n	10s	14n	10s
USGS	13344500	2005-01-01	77.0	A	9.35	A
USGS	13344500	2005-01-02	75.0	A	9.33	A
USGS	13344500	2005-01-03	72.0	A	9.32	A
USGS	13344500	2005-01-04	69.0	A	9.30	A
USGS	13344500	2005-01-05	67.0	A	9.28	A
USGS	13344500	2005-01-06	64.0	A	9.26	A
USGS	13344500	2005-01-07	71.0	A	9.31	A
USGS	13344500	2005-01-08	72.0	A	9.31	A
USGS	13344500	2005-01-09	69.0	A	9.29	A
USGS	13344500	2005-01-10	67.0	A	9.29	A
USGS	13344500	2005-01-11	67.0	A	9.28	A
USGS	13344500	2005-01-12	65.0	A	9.27	A
USGS	13344500	2005-01-13	64.0	A	9.26	A
USGS	13344500	2005-01-14	62.0	A	9.25	A
USGS	13344500	2005-01-15	56.0	A:e	9.22	A
USGS	13344500	2005-01-16	54.0	A:e	9.25	A
USGS	13344500	2005-01-17	56.0	A:e	9.27	A
USGS	13344500	2005-01-18	73.0	A	9.32	A
USGS	13344500	2005-01-19	90.0	A	9.43	A
USGS	13344500	2005-01-20	86.0	A	9.40	A
