# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2022-10-18 15:06:02 EDT       (vaww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 14120000 HOOD RIVER AT TUCKER BRIDGE, NEAR HOOD RIVER, OR
# -----------------------------------------------------------------------------------
#
# Data provided for site 14120000
#            TS   parameter     statistic     Description
#        113482       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	113482_00060_00003	113482_00060_00003_cd
5s	15s	20d	14n	10s
USGS	14120000	2005-01-01	452	A
USGS	14120000	2005-01-02	440	A
USGS	14120000	2005-01-03	418	A
USGS	14120000	2005-01-04	406	A
USGS	14120000	2005-01-05	371	A
USGS	14120000	2005-01-06	391	A
USGS	14120000	2005-01-07	401	A
USGS	14120000	2005-01-08	394	A
USGS	14120000	2005-01-09	383	A
USGS	14120000	2005-01-10	378	A
USGS	14120000	2005-01-11	371	A
USGS	14120000	2005-01-12	379	A
USGS	14120000	2005-01-13	395	A
USGS	14120000	2005-01-14	376	A
USGS	14120000	2005-01-15	379	A
USGS	14120000	2005-01-16	440	A
USGS	14120000	2005-01-17	525	A
USGS	14120000	2005-01-18	3110	A
USGS	14120000	2005-01-19	2060	A
USGS	14120000	2005-01-20	1550	A
USGS	14120000	2005-01-21	1330	A
USGS	14120000	2005-01-22	1110	A
USGS	14120000	2005-01-23	995	A
USGS	14120000	2005-01-24	857	A
USGS	14120000	2005-01-25	773	A
USGS	14120000	2005-01-26	726	A
USGS	14120000	2005-01-27	696	A
USGS	14120000	2005-01-28	661	A
USGS	14120000	2005-01-29	677	A
USGS	14120000	2005-01-30	658	A
USGS	14120000	2005-01-31	617	A
USGS	14120000	2005-02-01	584	A
USGS	14120000	2005-02-02	557	A
USGS	14120000	2005-02-03	539	A
USGS	14120000	2005-02-04	569	A
USGS	14120000	2005-02-05	604	A
USGS	14120000	2005-02-06	569	A
USGS	14120000	2005-02-07	550	A
USGS	14120000	2005-02-08	525	A
USGS	14120000	2005-02-09	509	A
USGS	14120000	2005-02-10	497	A
USGS	14120000	2005-02-11	490	A
USGS	14120000	2005-02-12	497	A
USGS	14120000	2005-02-13	531	A
USGS	14120000	2005-02-14	500	A
USGS	14120000	2005-02-15	477	A
USGS	14120000	2005-02-16	469	A
USGS	14120000	2005-02-17	457	A
USGS	14120000	2005-02-18	439	A
USGS	14120000	2005-02-19	431	A
USGS	14120000	2005-02-20	432	A
USGS	14120000	2005-02-21	415	A
USGS	14120000	2005-02-22	407	A
USGS	14120000	2005-02-23	401	A
USGS	14120000	2005-02-24	394	A
USGS	14120000	2005-02-25	390	A
USGS	14120000	2005-02-26	387	A
USGS	14120000	2005-02-27	383	A
USGS	14120000	2005-02-28	401	A
USGS	14120000	2005-03-01	410	A
USGS	14120000	2005-03-02	395	A
USGS	14120000	2005-03-03	387	A
USGS	14120000	2005-03-04	376	A
USGS	14120000	2005-03-05	371	A
USGS	14120000	2005-03-06	366	A
USGS	14120000	2005-03-07	367	A
USGS	14120000	2005-03-08	370	A
USGS	14120000	2005-03-09	364	A
USGS	14120000	2005-03-10	361	A
USGS	14120000	2005-03-11	357	A
USGS	14120000	2005-03-12	353	A
USGS	14120000	2005-03-13	341	A
USGS	14120000	2005-03-14	332	A
USGS	14120000	2005-03-15	328	A
USGS	14120000	2005-03-16	330	A
USGS	14120000	2005-03-17	360	A
USGS	14120000	2005-03-18	334	A
USGS	14120000	2005-03-19	395	A
USGS	14120000	2005-03-20	435	A
USGS	14120000	2005-03-21	393	A
USGS	14120000	2005-03-22	383	A
USGS	14120000	2005-03-23	403	A
USGS	14120000	2005-03-24	384	A
USGS	14120000	2005-03-25	373	A
USGS	14120000	2005-03-26	625	A
USGS	14120000	2005-03-27	2780	A
USGS	14120000	2005-03-28	2120	A
USGS	14120000	2005-03-29	1780	A
USGS	14120000	2005-03-30	1420	A
USGS	14120000	2005-03-31	1150	A
USGS	14120000	2005-04-01	1180	A
USGS	14120000	2005-04-02	1110	A
USGS	14120000	2005-04-03	1030	A
USGS	14120000	2005-04-04	1010	A
USGS	14120000	2005-04-05	921	A
USGS	14120000	2005-04-06	948	A
USGS	14120000	2005-04-07	969	A
USGS	14120000	2005-04-08	990	A
USGS	14120000	2005-04-09	877	A
USGS	14120000	2005-04-10	810	A
USGS	14120000	2005-04-11	918	A
USGS	14120000	2005-04-12	865	A
USGS	14120000	2005-04-13	795	A
USGS	14120000	2005-04-14	771	A
USGS	14120000	2005-04-15	734	A
USGS	14120000	2005-04-16	864	A
USGS	14120000	2005-04-17	923	A
USGS	14120000	2005-04-18	860	A
USGS	14120000	2005-04-19	794	A
USGS	14120000	2005-04-20	761	A
USGS	14120000	2005-04-21	745	A
USGS	14120000	2005-04-22	744	A
USGS	14120000	2005-04-23	951	A
USGS	14120000	2005-04-24	941	A
USGS	14120000	2005-04-25	1090	A
USGS	14120000	2005-04-26	1000	A
USGS	14120000	2005-04-27	907	A
USGS	14120000	2005-04-28	843	A
USGS	14120000	2005-04-29	781	A
USGS	14120000	2005-04-30	745	A
USGS	14120000	2005-05-01	695	A
USGS	14120000	2005-05-02	683	A
USGS	14120000	2005-05-03	643	A
USGS	14120000	2005-05-04	640	A
USGS	14120000	2005-05-05	670	A
USGS	14120000	2005-05-06	661	A
USGS	14120000	2005-05-07	620	A
USGS	14120000	2005-05-08	615	A
USGS	14120000	2005-05-09	765	A
USGS	14120000	2005-05-10	744	A
USGS	14120000	2005-05-11	677	A
USGS	14120000	2005-05-12	635	A
USGS	14120000	2005-05-13	603	A
USGS	14120000	2005-05-14	615	A
USGS	14120000	2005-05-15	730	A
USGS	14120000	2005-05-16	735	A
USGS	14120000	2005-05-17	705	A
USGS	14120000	2005-05-18	806	A
USGS	14120000	2005-05-19	970	A
USGS	14120000	2005-05-20	866	A
USGS	14120000	2005-05-21	815	A
USGS	14120000	2005-05-22	803	A
USGS	14120000	2005-05-23	710	A
USGS	14120000	2005-05-24	650	A
USGS	14120000	2005-05-25	606	A
USGS	14120000	2005-05-26	580	A
USGS	14120000	2005-05-27	570	A
USGS	14120000	2005-05-28	580	A
USGS	14120000	2005-05-29	575	A
USGS	14120000	2005-05-30	572	A
USGS	14120000	2005-05-31	564	A
USGS	14120000	2005-06-01	637	A
USGS	14120000	2005-06-02	593	A
USGS	14120000	2005-06-03	537	A
USGS	14120000	2005-06-04	506	A
USGS	14120000	2005-06-05	494	A
USGS	14120000	2005-06-06	484	A
USGS	14120000	2005-06-07	450	A
USGS	14120000	2005-06-08	418	A
USGS	14120000	2005-06-09	384	A
USGS	14120000	2005-06-10	362	A
USGS	14120000	2005-06-11	360	A
USGS	14120000	2005-06-12	391	A
USGS	14120000	2005-06-13	377	A
USGS	14120000	2005-06-14	370	A
USGS	14120000	2005-06-15	340	A
USGS	14120000	2005-06-16	333	A
USGS	14120000	2005-06-17	456	A
USGS	14120000	2005-06-18	409	A
USGS	14120000	2005-06-19	396	A
USGS	14120000	2005-06-20	361	A
USGS	14120000	2005-06-21	365	A
USGS	14120000	2005-06-22	355	A
USGS	14120000	2005-06-23	313	A
USGS	14120000	2005-06-24	302	A
USGS	14120000	2005-06-25	302	A
USGS	14120000	2005-06-26	305	A
USGS	14120000	2005-06-27	315	A
USGS	14120000	2005-06-28	323	A
USGS	14120000	2005-06-29	308	A
USGS	14120000	2005-06-30	297	A
USGS	14120000	2005-07-01	302	A
USGS	14120000	2005-07-02	273	A
USGS	14120000	2005-07-03	268	A
USGS	14120000	2005-07-04	258	A
USGS	14120000	2005-07-05	262	A
USGS	14120000	2005-07-06	345	A
USGS	14120000	2005-07-07	356	A
USGS	14120000	2005-07-08	298	A
USGS	14120000	2005-07-09	335	A
USGS	14120000	2005-07-10	294	A
USGS	14120000	2005-07-11	286	A
USGS	14120000	2005-07-12	286	A
USGS	14120000	2005-07-13	270	A
USGS	14120000	2005-07-14	246	A
USGS	14120000	2005-07-15	259	A
USGS	14120000	2005-07-16	307	A
USGS	14120000	2005-07-17	268	A
USGS	14120000	2005-07-18	248	A
USGS	14120000	2005-07-19	259	A
USGS	14120000	2005-07-20	239	A
USGS	14120000	2005-07-21	234	A
USGS	14120000	2005-07-22	315	A
USGS	14120000	2005-07-23	282	A
USGS	14120000	2005-07-24	231	A
USGS	14120000	2005-07-25	217	A
USGS	14120000	2005-07-26	215	A
USGS	14120000	2005-07-27	209	A
USGS	14120000	2005-07-28	229	A
USGS	14120000	2005-07-29	227	A
USGS	14120000	2005-07-30	223	A
USGS	14120000	2005-07-31	227	A
USGS	14120000	2005-08-01	220	A
USGS	14120000	2005-08-02	205	A
USGS	14120000	2005-08-03	187	A
USGS	14120000	2005-08-04	188	A
USGS	14120000	2005-08-05	215	A
USGS	14120000	2005-08-06	209	A
USGS	14120000	2005-08-07	207	A
USGS	14120000	2005-08-08	209	A
USGS	14120000	2005-08-09	203	A
