# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2022-10-18 15:20:07 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 14048000 JOHN DAY RIVER AT MCDONALD FERRY, OR
# -----------------------------------------------------------------------------------
#
# Data provided for site 14048000
#            TS   parameter     statistic     Description
#        113351       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	113351_00060_00003	113351_00060_00003_cd
5s	15s	20d	14n	10s
USGS	14048000	2005-01-01	754	A
USGS	14048000	2005-01-02	800	A
USGS	14048000	2005-01-03	716	A
USGS	14048000	2005-01-04	673	A
USGS	14048000	2005-01-05	707	A
USGS	14048000	2005-01-06	666	A
USGS	14048000	2005-01-07	498	A
USGS	14048000	2005-01-08	475	A
USGS	14048000	2005-01-09	489	A
USGS	14048000	2005-01-10	511	A
USGS	14048000	2005-01-11	605	A
USGS	14048000	2005-01-12	603	A
USGS	14048000	2005-01-13	608	A
USGS	14048000	2005-01-14	571	A
USGS	14048000	2005-01-15	599	A
USGS	14048000	2005-01-16	585	A
USGS	14048000	2005-01-17	550	A:e
USGS	14048000	2005-01-18	560	A:e
USGS	14048000	2005-01-19	580	A:e
USGS	14048000	2005-01-20	639	A
USGS	14048000	2005-01-21	750	A
USGS	14048000	2005-01-22	1110	A
USGS	14048000	2005-01-23	1200	A
USGS	14048000	2005-01-24	1180	A
USGS	14048000	2005-01-25	1150	A
USGS	14048000	2005-01-26	1120	A
USGS	14048000	2005-01-27	1080	A
USGS	14048000	2005-01-28	1070	A
