# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2022-10-18 14:59:05 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 12452990 ENTIAT RIVER NEAR ENTIAT, WA
# -----------------------------------------------------------------------------------
#
# Data provided for site 12452990
#            TS   parameter     statistic     Description
#        149832       00060     00003     Discharge, cubic feet per second (Mean)
#        149833       00065     00003     Gage height, feet (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	149832_00060_00003	149832_00060_00003_cd	149833_00065_00003	149833_00065_00003_cd
5s	15s	20d	14n	10s	14n	10s
USGS	12452990	2005-01-01	158	A	6.84	A
USGS	12452990	2005-01-02	150	A	6.81	A
USGS	12452990	2005-01-03	127	A	6.73	A
USGS	12452990	2005-01-04	90.0	A:e	6.63	A
USGS	12452990	2005-01-05	60.0	A:e	6.58	A
USGS	12452990	2005-01-06	85.0	A:e	6.78	A
USGS	12452990	2005-01-07	130	A:e	7.01	A
USGS	12452990	2005-01-08	140	A:e	7.20	A
USGS	12452990	2005-01-09	150	A:e	7.08	A
USGS	12452990	2005-01-10	145	A	6.79	A
USGS	12452990	2005-01-11	130	A	6.74	A
USGS	12452990	2005-01-12	127	A	6.72	A
USGS	12452990	2005-01-13	138	A	6.77	A
USGS	12452990	2005-01-14	133	A	6.75	A
USGS	12452990	2005-01-15	100	A:e	6.77	A
USGS	12452990	2005-01-16	110	A:e	6.78	A
USGS	12452990	2005-01-17	120	A:e	6.79	A
USGS	12452990	2005-01-18	200	A:e	7.05	A
USGS	12452990	2005-01-19	600	A:e	7.74	A
USGS	12452990	2005-01-20	687	A	7.84	A
USGS	12452990	2005-01-21	666	A	7.81	A
USGS	12452990	2005-01-22	634	A	7.76	A
