"event_site_name","count","event_type_name","start_antenna_id","end_antenna_id","start_ant_group","end_ant_group","ant_config","non_ascent","dam","dam_abbr"
"158 - Fifteenmile Ck at Eightmile Ck",2,"Observation","D5","D4","Middle Fifteenmile Ck","Upstream Fifteenmile Ck",100,NA,"in stream",NA
"18N - 1890s Channel Methow River",1,"Observation","A3","A3","Downstream Array","Downstream Array",100,NA,"in stream",NA
"ACB - Asotin Cr. at Cloverland Brdg.",50,"Observation","03","05","5-ANTENNA PARALLEL ARRAY","5-ANTENNA PARALLEL ARRAY",100,NA,"in stream",NA
"ACM - Asotin Creek near mouth",29,"Observation","04","02","MIDDLE ARRAY","UPSTREAM ARRAY",110,NA,"in stream",NA
"AFC - No./So. Fk Asotin Cr. Jct. ISA",26,"Observation","06","06","SOUTH FORK ASOTIN CREEK ARRAY","SOUTH FORK ASOTIN CREEK ARRAY",100,NA,"in stream",NA
"ANT - Antoine Creek Instream Array",3,"Observation","14","11","DOWNSTREAM ANTENNA","UPSTREAM ANTENNA",100,NA,"in stream",NA
"B2J - Bonneville PH2 Juvenile",33,"Observation","01","04","FULL FLOW BYPASS","FULL FLOW BYPASS",150,NA,"in stream",NA
"BBT - Touchet River at Bolles Bridge",22,"Observation","F6","F6","DOWNSTREAM ARRAY","DOWNSTREAM ARRAY",100,NA,"in stream",NA
"BCC - BON PH2 Corner Collector",237,"Observation","01","01","15X15 FULL-FLOW ANTENNA","15X15 FULL-FLOW ANTENNA",100,NA,"in stream",NA
"BCP - Butcher Creek Acclimation Pond",1,"Observation","02","02","POND EXIT","POND EXIT",100,NA,"in stream",NA
"BGM - Burlingame Dam and Canal",24,"Observation","F5","F5","BYPASS SLOT","BYPASS SLOT",110,NA,"in stream",NA
"BHC - Bohannon Creek Lemhi R Basin",2,"Observation","03","01","Downstream Array","Upstream Array",110,NA,"in stream",NA
"BO1 - Bonneville Bradford Is. Ladder",7210,"Observation","13","01","A-BRANCH WEIR 43","VERTICAL SLOT DETECTORS",110,NA,"in stream",NA
"BO2-BO3-BO4",13222,"Observation","BO3-17","BO4-01","BO3-WEIR 34","BO4-VERTICAL SLOT DETECTORS",100,NA,"in stream",NA
"BPC - Bonaparte Creek Instream Array",16,"Observation","C3","C1","Three Antenna Series","Three Antenna Series",100,NA,"in stream",NA
"BR0 - Bridge Creek Gauge",21,"Observation","B2","B2","Downstream","Downstream",100,NA,"in stream",NA
"BR1 - Bridge Creek Kiosk",18,"Observation","F2","F2","Downstream","Downstream",100,NA,"in stream",NA
"BR2 - Bridge Creek Gable",17,"Observation","B4","B1","Downstream Bridge Creek","Upstream Bridge Creek",100,NA,"in stream",NA
"BR3 - Bridge Creek Ranch",9,"Observation","F2","F2","Upstream","Upstream",100,NA,"in stream",NA
"BSC - Big Sheep Creek ISA at km 6",58,"Observation","A3","A3","DOWNSTREAM LEFT","DOWNSTREAM LEFT",100,NA,"in stream",NA
"BVC - Beaver Creek, Methow River",15,"Observation","B6","B1","LOWER IN-STREAM ARRAY","UPPER IN-STREAM ARRAY",100,NA,"in stream",NA
"CCA - Lower Charley Creek ISA",6,"Observation","02","02","DOWNSTREAM ANTENNA","DOWNSTREAM ANTENNA",110,NA,"in stream",NA
