"","event_type_name","event_site_name","start_antenna_id","end_antenna_id","start_ant_group","end_ant_group","ant_config","non_ascent"
"1","Observation","BO2-BO3-BO4","BO3-17","BO4-01","BO3-WEIR 34","BO4-VERTICAL SLOT DETECTORS",100,NA
"2","Observation","The Dalles Adult Fishways (combined)","02","01","Counting Window","Counting Window",100,NA
"3","Observation","MC2 - McNary Washington Shore Ladder","13","01","WEIR 302","COUNTING WINDOW",120,NA
"4","Observation","ICH2 - Ice Harbor Dam South Ladder","07","02","LEFT LADDER WEIR 435 [O/S]","LEFT LADDER WEIR 438 [O/S]",100,NA
"5","Observation","GRA - Lower Granite Dam Adult","18","02","ISO WEST","WEIR 733",140,NA
"6","Observation","AFC - No./So. Fk Asotin Cr. Jct. ISA","06","06","SOUTH FORK ASOTIN CREEK ARRAY","SOUTH FORK ASOTIN CREEK ARRAY",100,NA
"7","Observation","BO1 - Bonneville Bradford Is. Ladder","13","01","A-BRANCH WEIR 43","VERTICAL SLOT DETECTORS",110,NA
"8","Observation","MC1 - McNary Oregon Shore Ladder","12","01","WEIR 279","COUNTING WINDOW",100,NA
"9","Observation","USE - Upper Salmon River at rkm 437","B5","B5","ARRAY","ARRAY",100,NA
"10","Observation","USI - Upper Salmon River at rkm 460","A1","A1","ARRAY","ARRAY",100,NA
"11","Observation","STL - Sawtooth Hatchery Adult Trap","A3","A2","KEYWAY 1 - ORIFICE","KEYWAY 3 - OVERFLOW",100,NA
"12","Observation","DRM - Deschutes River mouth","04","05","Upstream Array","Upstream Array",100,NA
"13","Observation","ICH1 - Ice Harbor Dam North Ladder","10","0A","RIGHT LADDER WEIR 435 [S/O]","RIGHT LADDER WEIR 438 [S/O]",100,NA
"14","Observation","GRJ - Lower Granite Dam Juvenile","F1","F2","ADULT FISH RETURN","ADULT FISH RETURN",140,NA
"15","Observation","PRA2 - Priest Rapids Adult East Ladder","04","01","LEFT [EAST] LADDER WEIR 7","LEFT [EAST] LADDER WEIR 3",110,NA
"16","Observation","YFK - Yankee Fork Salmon River","A3","A2","DOWNSTREAM ARRAY","UPSTREAM ARRAY",100,NA
"17","Observation","RRF - Rocky Reach Fishway","04","01","WEIR 4","WEIR 6",100,NA
"18","Observation","BCC - BON PH2 Corner Collector","01","01","15X15 FULL-FLOW ANTENNA","15X15 FULL-FLOW ANTENNA",100,NA
"19","Observation","RIA3 - Rock Island Adult Right Ladder","09","09","RIGHT LADDER BAFFLE 4","RIGHT LADDER BAFFLE 4",100,NA
"20","Observation","WEA1 - Wells Dam, DCPUD Left Adult Ladder","04","02","LEFT LADDER POOL 67","LEFT LADDER POOL 68",130,NA
"21","Observation","RRJ - Rocky Reach Dam Juvenile","B4","B3","DSM BYPASS SURFACE COLLECTOR","DSM BYPASS SURFACE COLLECTOR",150,NA
"22","Observation","LMR - Lower Methow River at Pateros","B3","B3","DOWNSTREAM FULL-WIDTH ARRAY","DOWNSTREAM FULL-WIDTH ARRAY",110,NA
"23","Observation","MCJ - McNary Dam Juvenile","01","F2","FULL FLOW BYPASS","ADULT FISH RETURN",170,NA
"24","Observation","RIA2 - Rock Island Adult Middle Ladder","07","06","MIDDLE LADDER BAFFLE 2","MIDDLE LADDER BAFFLE 4",100,NA
"25","Observation","OKL - Lower Okanogan Instream Array","08","02","Downstream Array","Upstream Array",100,NA
"26","Observation","B2J - Bonneville PH2 Juvenile","01","04","FULL FLOW BYPASS","FULL FLOW BYPASS",150,NA
"27","Observation","VC2 - Valley Creek, Downstream Site","B6","B3","Downstream 3-antenna Array","Upstream 3-antenna Array",130,NA
"28","Observation","VC1 - Valley Creek, Upstream Site","A2","A4","UPSTREAM ARRAY","DOWNSTREAM ARRAY",120,NA
