"","tag_code","state","date_time","pathway"
"1","384.1B7969BC09","mainstem, BON to MCN",2013-08-03 11:32:31,"BON (adult)"
"NA","384.1B7969BC09","mainstem, mouth to BON",NA,"implicit"
"3","384.1B7969BC09","mainstem, BON to MCN",2013-08-03 21:58:23,"BON (adult)"
"5","384.1B7969BC09","mainstem, MCN to ICH or PRA",2013-10-07 01:16:22,"MCN (adult)"
"6","384.1B7969BC09","mainstem, ICH to LGR",2013-10-10 03:45:29,"ICH (adult)"
"7","384.1B7969BC09","mainstem, upstream of LGR",2013-10-19 04:46:27,"LGR (adult)"
"8","384.1B7969BC09","Asotin Creek",2014-03-15 16:42:33,"ASO_sites"
"10","384.1B796A0627","mainstem, BON to MCN",2012-08-05 07:50:46,"BON (adult)"
"11","384.1B796A0627","mainstem, mouth to BON",NA,"implicit"
"12","384.1B796A0627","mainstem, BON to MCN",2012-08-06 03:26:55,"BON (adult)"
"13","384.1B796A0627","mainstem, MCN to ICH or PRA",2012-09-16 01:34:47,"MCN (adult)"
"14","384.1B796A0BB0","mainstem, BON to MCN",2013-08-04 01:39:21,"BON (adult)"
"16","384.1B796A0BB0","mainstem, MCN to ICH or PRA",2013-08-16 10:36:38,"MCN (adult)"
"17","384.1B796A0BB0","mainstem, ICH to LGR",2013-08-18 12:11:54,"ICH (adult)"
"18","384.1B796A0BB0","mainstem, MCN to ICH or PRA",NA,"implicit"
"19","384.1B796A0BB0","mainstem, ICH to LGR",2013-08-18 23:36:58,"ICH (adult)"
"20","384.1B796A0BB0","mainstem, MCN to ICH or PRA",NA,"implicit"
"21","384.1B796A0BB0","mainstem, ICH to LGR",2013-08-20 17:03:22,"ICH (adult)"
"22","384.1B796A0BB0","mainstem, MCN to ICH or PRA",NA,"implicit"
"23","384.1B796A0BB0","mainstem, ICH to LGR",2013-08-26 13:57:02,"ICH (adult)"
"24","384.1B796A0BB0","mainstem, MCN to ICH or PRA",NA,"implicit"
"25","384.1B796A0BB0","mainstem, ICH to LGR",2013-09-11 05:58:22,"ICH (adult)"
"26","384.1B796A0BB0","mainstem, upstream of LGR",2013-09-20 04:23:43,"LGR (adult)"
"27","384.1B796A0BB0","Salmon River",2014-03-16 20:42:52,"SAL_sites"
"29","384.1B796A112E","mainstem, BON to MCN",2012-09-29 07:06:37,"BON (adult)"
"30","384.1B796A112E","mainstem, MCN to ICH or PRA",2012-10-09 10:32:04,"MCN (adult)"
"31","384.1B796A112E","mainstem, ICH to LGR",2012-10-13 04:27:04,"ICH (adult)"
"32","384.1B796A112E","mainstem, upstream of LGR",2012-11-01 07:24:56,"LGR (adult)"
"33","384.1B796A112E","Salmon River",2013-03-29 23:40:09,"SAL_sites"
"35","384.1B796A1594","mainstem, BON to MCN",2012-08-06 06:57:41,"BON (adult)"
"36","384.1B796A1A8D","mainstem, BON to MCN",2013-08-18 11:46:37,"BON (adult)"
"37","384.1B796A1A8D","mainstem, mouth to BON",NA,"implicit"
"38","384.1B796A1A8D","mainstem, BON to MCN",2013-08-19 03:42:38,"BON (adult)"
"40","384.1B796A1A8D","mainstem, MCN to ICH or PRA",2013-10-02 05:39:32,"MCN (adult)"
"41","384.1B796A1A8D","mainstem, ICH to LGR",2013-10-03 14:23:26,"ICH (adult)"
"42","384.1B796A1A8D","mainstem, upstream of LGR",2013-10-08 08:12:03,"LGR (adult)"
"43","384.1B796A1A8D","Salmon River",2014-03-25 05:30:10,"SAL_sites"
"45","384.1B796A1F4A","mainstem, BON to MCN",2012-08-25 11:24:14,"BON (adult)"
"46","384.1B796A1F4A","mainstem, mouth to BON",NA,"implicit"
"47","384.1B796A1F4A","mainstem, BON to MCN",2012-08-25 22:06:58,"BON (adult)"
