"","event_type_name","event_site_name","start_antenna_id","end_antenna_id","start_ant_group","end_ant_group","ant_config","non_ascent"
"1","Observation","BO1 - Bonneville Bradford Is. Ladder","24","01","B-BRANCH WEIR 43","VERTICAL SLOT DETECTORS",110,NA
"2","Observation","The Dalles Adult Fishways (combined)","02","01","Counting Window","Counting Window",100,NA
"3","Observation","MC1 - McNary Oregon Shore Ladder","12","01","WEIR 279","COUNTING WINDOW",100,NA
"4","Observation","ICH1 - Ice Harbor Dam North Ladder","10","09","RIGHT LADDER WEIR 435 [S/O]","RIGHT LADDER WEIR 438 [S/O]",100,NA
"5","Observation","GRA - Lower Granite Dam Adult","08","01","WEIR 730","WEIR 733",140,NA
"6","Observation","UTR - Upper Tucannon River","A3","A1","MIDDLE ARRAY","UPSTREAM ARRAY",100,NA
"7","Observation","TFH - Tucannon Fish Hatchery","F6","F6","DOWNSTREAM ARRAY","DOWNSTREAM ARRAY",100,NA
"8","Observation","MJ1 - Middle Fork John Day Array","A4","A1","Downstream Array","Upstream Array",110,NA
"9","Observation","BO2-BO3-BO4","BO3-14","BO4-01","BO3-WEIR 36","BO4-VERTICAL SLOT DETECTORS",100,NA
"10","Observation","DWL - Dworshak NFH adult trap","A1","A2","UPSTREAM ANTENNA","DOWNSTREAM ANTENNA",100,NA
"11","Observation","ICH2 - Ice Harbor Dam South Ladder","07","01","LEFT LADDER WEIR 435 [O/S]","LEFT LADDER WEIR 438 [O/S]",100,NA
"12","Observation","MC2 - McNary Washington Shore Ladder","12","01","WEIR 302","COUNTING WINDOW",120,NA
"13","Observation","DRM - Deschutes River mouth","05","04","Upstream Array","Upstream Array",100,NA
"14","Observation","TMF - Three Mile Falls Dam Combined","01","01","Adult Fish Ladder","Adult Fish Ladder",110,NA
"15","Observation","USE - Upper Salmon River at rkm 437","B2","B3","ARRAY","ARRAY",100,NA
"16","Observation","USI - Upper Salmon River at rkm 460","A2","A1","ARRAY","ARRAY",100,NA
"17","Observation","GRJ - Lower Granite Dam Juvenile","F1","F2","ADULT FISH RETURN","ADULT FISH RETURN",140,NA
"18","Observation","LTR - Lower Tucannon River","C1","C2","DOWNSTREAM LEFT ANTENNA","UPSTREAM LEFT ANTENNA",140,NA
"19","Observation","MTR - Middle Tucannon River","B1","B5","UPSTREAM ARRAY","DOWNSTREAM ARRAY",100,NA
"20","Observation","PRO - Prosser Diversion Dam Combined","04","03","MIDDLE LDR COUNTING WINDOW","MIDDLE LDR COUNTING WINDOW",110,NA
"21","Observation","PRV - Walla Walla R at Pierce RV Prk","A4","A4","ARRAY","ARRAY",100,NA
"22","Observation","LMA - Lower Monumental Adult Ladders","04","03","Right Ladder","Right Ladder",100,NA
"23","Observation","PRA2 - Priest Rapids Adult East Ladder","03","01","LEFT [EAST] LADDER WEIR 7","LEFT [EAST] LADDER WEIR 3",110,NA
"24","Observation","RRF - Rocky Reach Fishway","03","02","WEIR 4","WEIR 6",100,NA
"25","Observation","LFF - Lyle Falls Fishway","03","01","BYPASS CHANNEL","BYPASS CHANNEL",110,NA
"26","Observation","LMJ - Lower Monumental Dam Juvenile","01","04","FULL FLOW BYPASS","FULL FLOW BYPASS",150,NA
"27","Observation","ORB - Oasis Road Bridge","B4","B4","PASS-THROUGH [DOWNSTREAM] 4","PASS-THROUGH [DOWNSTREAM] 4",130,NA
"28","Observation","JD1 - John Day River, McDonald Ferry","08","08","Downstream Array","Downstream Array",110,NA
"29","Observation","FDD - Feed Diversion Dam","B3","B3","ADULT LADDER RIGHT, FACING D/S","ADULT LADDER RIGHT, FACING D/S",100,NA
"30","Observation","JDJ - John Day Dam Juvenile","01","04","FULL FLOW BYPASS","FULL FLOW BYPASS",160,NA
"31","Observation","WEA1 - Wells Dam, DCPUD Left Adult Ladder","F1","02","LEFT LADDER POOL 19","Left Ladder Pool 68",140,NA
"32","Observation","LMR - Lower Methow River at Pateros","A4","A4","UPSTREAM FULL-WIDTH ARRAY","UPSTREAM FULL-WIDTH ARRAY",110,NA
"33","Observation","RIA3 - Rock Island Adult Right Ladder","09","09","RIGHT LADDER BAFFLE 4","RIGHT LADDER BAFFLE 4",110,NA
"34","Observation","WEA2 - Wells Dam, DCPUD Right Adult Ladder","F4","F4","RIGHT LADDER POOL 19","RIGHT LADDER POOL 19",140,NA
"35","Observation","SCP - Spring Creek Acclimation Pond","F5","F6","Downstream Antennas","Downstream Antennas",120,NA
"36","Observation","LWE - Lower Wenatchee River","B3","C4","UPSTREAM ANTENNA ARRAY","DOWNSTREAM ANTENNA ARRAY",110,NA
"37","Observation","RIA2 - Rock Island Adult Middle Ladder","08","06","MIDDLE LADDER BAFFLE 2","MIDDLE LADDER BAFFLE 4",100,NA
"38","Observation","GOA - Little Goose Fish Ladder","02","01","Counting Window","Counting Window",100,NA
"39","Observation","ICB - Ice Harbor Bypass","A1","A4","FULL FLOW BYPASS","FULL FLOW BYPASS",100,NA
"40","Observation","PRA1 - Priest Rapids Adult West Ladder","07","06","RIGHT [WEST] LADDER WEIR 5","RIGHT [WEST] LADDER WEIR 3",110,NA
"41","Observation","SFG - SF Salmon at Guard Station Br.","A1","A1","IN-STREAM ARRAY","IN-STREAM ARRAY",100,NA
"42","Observation","KRS - SF Salmon River at Krassel Cr.","A4","A4","IN-RIVER PASS-OVER MUX ARRAY","IN-RIVER PASS-OVER MUX ARRAY",110,NA
"43","Observation","BBT - Touchet River at Bolles Bridge","F6","F6","DOWNSTREAM ARRAY","DOWNSTREAM ARRAY",100,NA
"44","Observation","IR1 - Lower Imnaha River ISA @ km 7","B1","B1","STREAM BANK LEFT","STREAM BANK LEFT",100,NA
"45","Observation","IR2 - Lower Imnaha River ISA @ km 10","A3","A3","STREAM CENTER","STREAM CENTER",100,NA
"46","Observation","BCC - BON PH2 Corner Collector","01","01","15X15 FULL-FLOW ANTENNA","15X15 FULL-FLOW ANTENNA",100,NA
"47","Observation","JOC - Joseph Creek ISA @ km 3","A3","A3","UPSTREAM RIGHT","UPSTREAM RIGHT",100,NA
"48","Observation","ESS - EFSF Salmon River at Parks Cr.","B4","A1","LOWER IN-STREAM ARRAY","UPPER IN-STREAM ARRAY",100,NA
"49","Observation","CRW - Chewuch River above Winthrop","06","06","DOWNSTREAM ARRAY","DOWNSTREAM ARRAY",100,NA
"50","Observation","RIA1 - Rock Island Adult Left Ladder","03","01","LEFT LADDER BAFFLE 2","LEFT LADDER BAFFLE 4",110,NA
"51","Observation","ZEN - Secesh River at Zena Cr. Ranch","B2","A1","LOWER IN-STREAM ARRAY","UPPER IN-STREAM ARRAY",110,NA
"52","Observation","MRT - Methow River at Twisp","04","04","Upstream array","Upstream array",120,NA
"53","Observation","WFC - Wolf Creek, Methow River","11","11","SINGLE IN-STREAM ANTENNA","SINGLE IN-STREAM ANTENNA",100,NA
"54","Observation","MRW - Methow River at Winthrop","B4","B1","DOWNSTREAM ARRAY","UPSTREAM ARRAY",100,NA
"55","Observation","GOJ - Little Goose Dam Juvenile","01","F2","FULL FLOW BYPASS","ADULT FISH RETURN",150,NA
"56","Observation","MCJ - McNary Dam Juvenile","01","04","FULL FLOW BYPASS","FULL FLOW BYPASS",170,NA
"57","Observation","MWF - Whitefish SC in Methow River","F6","E1","Lower Site - Lower Array","Upper Site - Upper Array",100,NA
"58","Observation","RRJ - Rocky Reach Dam Juvenile","B3","B4","DSM BYPASS SURFACE COLLECTOR","DSM BYPASS SURFACE COLLECTOR",150,NA
"59","Observation","TOP - Lower Toppenish Creek","25","22","Downstream","Upstream",100,NA
"60","Observation","ROZ - Roza Diversion Dam (Combined)","03","01","DOWNSTREAM WEIR","UPSTREAM WEIR",110,NA
"61","Observation","SWK - Lower Swauk Creek","C3","C3","DOWNSTREAM ARRAY","DOWNSTREAM ARRAY",120,NA
"62","Observation","HRM - Hood River Mouth","F5","F3","DOWNSTREAM","MIDDLE",100,NA
"63","Observation","MWC - Maxwell Canal","A2","B2","HEADGATE","DIVERSION SCREEN",120,NA
"64","Observation","SAT - Lower Satus Creek","13","11","Downstream","Upstream",100,NA
"65","Observation","OKL - Lower Okanogan Instream Array","09","03","Downstream Array","Upstream Array",100,NA
"66","Observation","BR0 - Bridge Creek Gauge","B2","B1","Downstream","Upstream",100,NA
"67","Observation","BR1 - Bridge Creek Kiosk","F1","F1","Upstream","Upstream",100,NA
"68","Observation","BR2 - Bridge Creek Gable","B4","B4","Downstream Bridge Creek","Downstream Bridge Creek",100,NA
"69","Observation","BR3 - Bridge Creek Ranch","F4","F2","Downstream","Upstream",100,NA
"70","Observation","SJ1 - SF John Day (Mid)","E4","E4","Downstream","Downstream",100,NA
"71","Observation","SJ2 - SF John Day (Murderer's)","D5","D3","Murderers Creek","Downstream SF John Day",100,NA
"72","Observation","RCL - Rock Creek (WA) at rkm 5","A1","A1","UPPER IN-STREAM ARRAY","UPPER IN-STREAM ARRAY",100,NA
"73","Observation","RCS - Rock Creek (WA) at rkm 14","B4","B2","MIDDLE IN-STREAM ARRAY","UPPER IN-STREAM ARRAY",100,NA
"74","Observation","ENL - Lower Entiat River","24","22","LOWER IN-STREAM ARRAY","UPPER IN-STREAM ARRAY",100,NA
"75","Observation","HS2 - Bottom side channel near ENFH","01","01","Bottom Antenna","Bottom Antenna",100,NA
"76","Observation","HS1 - Top of side channel near ENFH","01","01","Top Antenna","Top Antenna",100,NA
"77","Observation","RCT - Roaring Creek Temporary Array","01","01","Instream Array","Instream Array",100,NA
"78","Observation","DBO - Bakeoven Ck Deschutes Trib","A1","A1","Upstream","Upstream",100,NA
"79","Observation","ENA - Upper Entiat River at rkm 17.1","46","43","DOWNSTREAM ANTENNA ARRAY","UPSTREAM ANTENNA ARRAY",100,NA
"80","Observation","ENM - Middle Entiat River","55","55","LOWER IN-STREAM ARRAY","LOWER IN-STREAM ARRAY",100,NA
"81","Observation","ENS - Upper Entiat River at rkm 35.7","64","64","DOWNSTREAM ARRAY","DOWNSTREAM ARRAY",100,NA
"82","Observation","LRL - Lower Lochsa River Array Site","BB","BB","Instream Array","Instream Array",100,NA
"83","Observation","TAY - Big Creek at Taylor Ranch","B2","B2","LOWER IN-STREAM ARRAY","LOWER IN-STREAM ARRAY",100,NA
