"","tag_code","state","date_time","pathway","release_date","days_after_release","life_stage","BON_arrival","days_after_arrival","direction","next_direction","max_direction_index","eventual_repeat","repeat_start"
"1","384.3B239A8BD6","mainstem, BON to MCN",2015-08-24 11:44:51,"BON (adult)","2014-04-14",497.2,"Adult",2015-08-24 11:44:51,0,"upstream","downstream",446,"eventual_repeat",13
"2","384.3B239A8BD6","mainstem, MCN to ICH or PRA",2015-08-31 07:17:10,"MCN (adult)","2014-04-14",504,"Adult",2015-08-24 11:44:51,6.8,"upstream","downstream",446,"eventual_repeat",13
"3","384.3B239A8BD6","mainstem, PRA to RIS",2015-09-05 14:19:51,"PRA (adult)","2014-04-14",509.3,"Adult",2015-08-24 11:44:51,12.1,"upstream","downstream",446,"eventual_repeat",13
"4","384.3B239A8BD6","mainstem, RIS to RRE",2015-09-17 20:02:15,"RIS (adult)","2014-04-14",521.5,"Adult",2015-08-24 11:44:51,24.3,"upstream","downstream",446,"eventual_repeat",13
"5","384.3B239A8BD6","mainstem, RRE to WEL",2015-09-20 12:27:45,"RRE (adult)","2014-04-14",524.2,"Adult",2015-08-24 11:44:51,27,"upstream","downstream",446,"eventual_repeat",13
"6","384.3B239A8BD6","mainstem, upstream of WEL",2015-09-22 19:54:38,"WEL (adult)","2014-04-14",526.5,"Adult",2015-08-24 11:44:51,29.3,"upstream","downstream",446,"eventual_repeat",13
"7","384.3B239A8BD6","mainstem, RRE to WEL",2016-04-11 10:11:00,"implicit","2014-04-14",728.1,"kelt",2015-08-24 11:44:51,230.9,"downstream","upstream",446,"eventual_repeat",13
"8","384.3B239A8BD6","mainstem, RIS to RRE",2016-04-11 10:11:00,"RRE_fallback_arrays","2014-04-14",728.1,"kelt",2015-08-24 11:44:51,230.9,"downstream","upstream",446,"eventual_repeat",13
"9","384.3B239A8BD6","mainstem, PRA to RIS",2016-08-08 13:35:34,"implicit","2014-04-14",847.3,"kelt",2015-08-24 11:44:51,350.1,"downstream","upstream",446,"eventual_repeat",13
"10","384.3B239A8BD6","mainstem, MCN to ICH or PRA",2016-08-08 13:35:34,"implicit","2014-04-14",847.3,"kelt",2015-08-24 11:44:51,350.1,"downstream","upstream",446,"eventual_repeat",13
"11","384.3B239A8BD6","mainstem, BON to MCN",2016-08-08 13:35:34,"implicit","2014-04-14",847.3,"kelt",2015-08-24 11:44:51,350.1,"downstream","upstream",446,"eventual_repeat",13
"12","384.3B239A8BD6","mainstem, mouth to BON",2016-08-08 13:35:34,"implicit","2014-04-14",847.3,"kelt",2015-08-24 11:44:51,350.1,"downstream","upstream",446,"eventual_repeat",13
"13","384.3B239A8BD6","mainstem, BON to MCN",2016-08-08 13:35:34,"BON (adult)","2014-04-14",847.3,"possible_kelt",2015-08-24 11:44:51,350.1,"upstream","downstream",446,"eventual_repeat",13
"14","3D9.1BF16072EA","mainstem, BON to MCN",2005-07-13 13:50:37,"BON (adult)","2003-05-07",798.3,"Adult",2005-07-13 13:50:37,0,"upstream","downstream",1962,"eventual_repeat",13
"15","3D9.1BF16072EA","mainstem, MCN to ICH or PRA",2005-07-23 11:28:07,"MCN (adult)","2003-05-07",808.2,"Adult",2005-07-13 13:50:37,9.9,"upstream","downstream",1962,"eventual_repeat",13
"16","3D9.1BF16072EA","mainstem, PRA to RIS",2005-08-09 05:15:00,"PRA (adult)","2003-05-07",824.9,"Adult",2005-07-13 13:50:37,26.6,"upstream","downstream",1962,"eventual_repeat",13
