"event_site_name","count","event_type_name","start_antenna_id","end_antenna_id","start_ant_group","end_ant_group","ant_config","non_ascent","dam","dam_abbr"
"158 - Fifteenmile Ck at Eightmile Ck",40,"Observation","D5","D4","Middle Fifteenmile Ck","Upstream Fifteenmile Ck",100,NA,"in stream",NA
"15D - Fifteenmile Ck at Dry Ck",19,"Observation","C1","C1","Upstream Fifteenmile Ck","Upstream Fifteenmile Ck",100,NA,"in stream",NA
"15R - Fifteenmile Ck at Ramsey Ck",1,"Observation","E5","E1","Downstream Fifteenmile Ck","Upstream Ramsey Ck",100,NA,"in stream",NA
"30M - Thirtymile Crk John Day Basin",8,"Observation","02","01","Downstream Array","Upstream Array",100,NA,"in stream",NA
"85M - Eightmile Ck at Fivemile Ck",1,"Observation","F5","F6","Middle Eightmile Ck","Downstream Eightmile Ck",100,NA,"in stream",NA
"ACB - Asotin Cr. at Cloverland Brdg.",60,"Observation","04","02","Downstream Array","Upstream Array",120,NA,"in stream",NA
"ACM - Asotin Creek near mouth",120,"Observation","03","03","MIDDLE ARRAY","MIDDLE ARRAY",110,NA,"in stream",NA
"AFC - No./So. Fk Asotin Cr. Jct. ISA",24,"Observation","06","01","Mainstem Asotin Creek Array","North Fork Asotin Creek Array",110,NA,"in stream",NA
"AH1 - Ahtanum at Lasalle HS",5,"Observation","02","01","Downstream Antenna","Upstream Antenna",100,NA,"in stream",NA
"ANT - Antoine Creek Instream Array",1,"Observation","13","13","Downstream Antenna","Downstream Antenna",110,NA,"in stream",NA
"B2J - Bonneville PH2 Juvenile",20,"Observation","01","04","FULL FLOW BYPASS","FULL FLOW BYPASS",150,NA,"in stream",NA
"BBA - Big Bear Creek Array",21,"Observation","02","02","Single Span","Single Span",100,NA,"in stream",NA
"BBT - Touchet River at Bolles Bridge",149,"Observation","F6","F6","Downstream Array","Downstream Array",110,NA,"in stream",NA
"BCC - BON PH2 Corner Collector",175,"Observation","01","01","15X15 FULL-FLOW ANTENNA","15X15 FULL-FLOW ANTENNA",100,NA,"in stream",NA
"BGM - Burlingame Dam and Canal",18,"Observation","F4","F3","ADULT FISHWAY","ADULT FISHWAY",110,NA,"in stream",NA
"BHC - Bohannon Creek Lemhi R Basin",9,"Observation","03","03","Downstream Array","Downstream Array",110,NA,"in stream",NA
"BO1 - Bonneville Bradford Is. Ladder",2909,"Observation","24","01","B-BRANCH WEIR 43","VERTICAL SLOT DETECTORS",120,NA,"in stream",NA
"BO2-BO3-BO4",6558,"Observation","BO2-10","BO4-01","BO2-WEIR 45","BO4-VERTICAL SLOT DETECTORS",110,NA,"in stream",NA
"BPC - Bonaparte Creek Instream Array",9,"Observation","C3","C1","Three Antenna Series","Three Antenna Series",100,NA,"in stream",NA
"BR0 - Bridge Creek Gauge",49,"Observation","B2","B2","Downstream","Downstream",100,NA,"in stream",NA
"BR1 - Bridge Creek Kiosk",12,"Observation","F2","F1","Downstream","Upstream",100,NA,"in stream",NA
"BSC - Big Sheep Creek ISA at km 6",76,"Observation","A4","A2","DOWNSTREAM RIGHT","UPSTREAM RIGHT",100,NA,"in stream",NA
